noise_level,accuracy,CNN,hidden_units,hidden_func_name,latent_func_name,hidden_dropout,retrain_encoder,deep_dense_layers
0.0,0.9416206261510129,vgg19,1024,relu,tanh,0.0,True,False
0.01,0.9558931860036832,vgg19,1024,relu,tanh,0.0,True,False
0.012648552168552958,0.9347452424800491,vgg19,1024,relu,tanh,0.0,True,False
0.015998587196060583,0.9222836095764273,vgg19,1024,relu,tanh,0.0,True,False
0.020235896477251575,0.9422344996930632,vgg19,1024,relu,tanh,0.0,True,False
0.025595479226995357,0.9228974831184776,vgg19,1024,relu,tanh,0.0,True,False
0.032374575428176434,0.9068139963167587,vgg19,1024,relu,tanh,0.0,True,False
0.040949150623804255,0.9123081645181094,vgg19,1024,relu,tanh,0.0,True,False
0.05179474679231213,0.9213014119091467,vgg19,1024,relu,tanh,0.0,True,False
0.0655128556859551,0.932535297728668,vgg19,1024,relu,tanh,0.0,True,False
0.08286427728546843,0.9191835481890731,vgg19,1024,relu,tanh,0.0,True,False
0.10481131341546858,0.9122467771639041,vgg19,1024,relu,tanh,0.0,True,False
0.13257113655901095,0.9188766114180479,vgg19,1024,relu,tanh,0.0,True,False
0.16768329368110083,0.9132596685082873,vgg19,1024,relu,tanh,0.0,True,False
0.21209508879201905,0.8904849600982199,vgg19,1024,relu,tanh,0.0,True,False
0.2682695795279726,0.8886740331491713,vgg19,1024,relu,tanh,0.0,True,False
0.33932217718953295,0.8608041743400859,vgg19,1024,relu,tanh,0.0,True,False
0.42919342601287785,0.8578268876611418,vgg19,1024,relu,tanh,0.0,True,False
0.5428675439323859,0.8251688152240637,vgg19,1024,relu,tanh,0.0,True,False
0.6866488450043002,0.7552179251074279,vgg19,1024,relu,tanh,0.0,True,False
0.8685113737513529,0.7576427255985267,vgg19,1024,relu,tanh,0.0,True,False
1.0985411419875584,0.6721915285451197,vgg19,1024,relu,tanh,0.0,True,False
1.3894954943731375,0.6449355432780847,vgg19,1024,relu,tanh,0.0,True,False
1.757510624854793,0.5947513812154697,vgg19,1024,relu,tanh,0.0,True,False
2.2229964825261956,0.5137200736648251,vgg19,1024,relu,tanh,0.0,True,False
2.8117686979742307,0.5448741559238797,vgg19,1024,relu,tanh,0.0,True,False
3.5564803062231287,0.5487108655616943,vgg19,1024,relu,tanh,0.0,True,False
4.498432668969444,0.49683855125844073,vgg19,1024,relu,tanh,0.0,True,False
5.689866029018299,0.5426028238182934,vgg19,1024,relu,tanh,0.0,True,False
7.196856730011521,0.5574892572130142,vgg19,1024,relu,tanh,0.0,True,False
9.102981779915218,0.5109269490484961,vgg19,1024,relu,tanh,0.0,True,False
11.513953993264481,0.516329036218539,vgg19,1024,relu,tanh,0.0,True,False
14.563484775012444,0.4438305709023941,vgg19,1024,relu,tanh,0.0,True,False
18.420699693267164,0.4967771639042357,vgg19,1024,relu,tanh,0.0,True,False
23.29951810515372,0.5645181092694904,vgg19,1024,relu,tanh,0.0,True,False
29.4705170255181,0.4973603437691836,vgg19,1024,relu,tanh,0.0,True,False
37.27593720314942,0.5430018416206261,vgg19,1024,relu,tanh,0.0,True,False
47.14866363457394,0.5092694904849601,vgg19,1024,relu,tanh,0.0,True,False
59.63623316594643,0.4869551872314304,vgg19,1024,relu,tanh,0.0,True,False
75.43120063354623,0.5364947820748925,vgg19,1024,relu,tanh,0.0,True,False
95.40954763499944,0.5071209330877839,vgg19,1024,relu,tanh,0.0,True,False
120.67926406393289,0.48634131368938005,vgg19,1024,relu,tanh,0.0,True,False
152.64179671752333,0.5049416820135053,vgg19,1024,relu,tanh,0.0,True,False
193.06977288832496,0.503560466543892,vgg19,1024,relu,tanh,0.0,True,False
244.205309454865,0.49864947820748917,vgg19,1024,relu,tanh,0.0,True,False
308.8843596477485,0.4933087783916514,vgg19,1024,relu,tanh,0.0,True,False
390.6939937054621,0.44944751381215464,vgg19,1024,relu,tanh,0.0,True,False
494.17133613238383,0.5031461019030079,vgg19,1024,relu,tanh,0.0,True,False
625.0551925273976,0.47354205033763047,vgg19,1024,relu,tanh,0.0,True,False
790.6043210907702,0.49622467771639045,vgg19,1024,relu,tanh,0.0,True,False
1000.0,0.471853898096992,vgg19,1024,relu,tanh,0.0,True,False
