noise_level,y_true,y_pred,y_prob,CNN,hidden_units,hidden_func_name,latent_func_name,hidden_dropout,retrain_encoder,deep_dense_layers
0.0,0,0,0.13043051958084106,vgg19,1024,relu,tanh,0.0,True,False
0.0,0,0,0.019490225240588188,vgg19,1024,relu,tanh,0.0,True,False
0.0,1,1,0.6732568740844727,vgg19,1024,relu,tanh,0.0,True,False
0.0,1,1,0.8307644128799438,vgg19,1024,relu,tanh,0.0,True,False
0.0,1,1,0.7702661156654358,vgg19,1024,relu,tanh,0.0,True,False
0.0,1,0,0.3896389603614807,vgg19,1024,relu,tanh,0.0,True,False
0.0,0,0,0.13696390390396118,vgg19,1024,relu,tanh,0.0,True,False
0.0,1,1,0.562255859375,vgg19,1024,relu,tanh,0.0,True,False
0.0,0,0,0.44901278614997864,vgg19,1024,relu,tanh,0.0,True,False
0.0,0,0,0.006785649806261063,vgg19,1024,relu,tanh,0.0,True,False
0.0,1,0,0.48387932777404785,vgg19,1024,relu,tanh,0.0,True,False
0.0,1,1,0.5377328395843506,vgg19,1024,relu,tanh,0.0,True,False
0.0,1,1,0.9105053544044495,vgg19,1024,relu,tanh,0.0,True,False
0.0,1,1,0.8983296155929565,vgg19,1024,relu,tanh,0.0,True,False
0.0,1,1,0.8907433152198792,vgg19,1024,relu,tanh,0.0,True,False
0.0,1,1,0.5048720240592957,vgg19,1024,relu,tanh,0.0,True,False
0.0,1,1,0.6768079996109009,vgg19,1024,relu,tanh,0.0,True,False
0.0,0,1,0.7656389474868774,vgg19,1024,relu,tanh,0.0,True,False
0.0,0,0,0.1831153780221939,vgg19,1024,relu,tanh,0.0,True,False
0.0,0,0,0.025858331471681595,vgg19,1024,relu,tanh,0.0,True,False
0.0,0,0,0.42314568161964417,vgg19,1024,relu,tanh,0.0,True,False
0.0,0,1,0.5106890201568604,vgg19,1024,relu,tanh,0.0,True,False
0.0,0,0,0.05474384129047394,vgg19,1024,relu,tanh,0.0,True,False
0.0,1,1,0.9142017960548401,vgg19,1024,relu,tanh,0.0,True,False
0.0,1,1,0.9406955242156982,vgg19,1024,relu,tanh,0.0,True,False
0.0,1,1,0.6558311581611633,vgg19,1024,relu,tanh,0.0,True,False
